Scenario,Year,Sector,CF unit,Impact value,Impact category
Net Zero Emissions by 2050 Scenario,2023,Energy transition,PDF.m2.yr,1.28799E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2023,Energy transition,DALY,1339852.316,Human Health damage
Net Zero Emissions by 2050 Scenario,2023,Total energy system,PDF.m2.yr,2.44405E+13,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2023,Total energy system,DALY,250383744.7,Human Health damage
Net Zero Emissions by 2050 Scenario,2030,Energy transition,PDF.m2.yr,1.80394E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2030,Energy transition,DALY,1880491.46,Human Health damage
Net Zero Emissions by 2050 Scenario,2030,Total energy system,PDF.m2.yr,1.62162E+13,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2030,Total energy system,DALY,166128467.6,Human Health damage
Net Zero Emissions by 2050 Scenario,2035,Energy transition,PDF.m2.yr,1.895E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2035,Energy transition,DALY,1979768.498,Human Health damage
Net Zero Emissions by 2050 Scenario,2035,Total energy system,PDF.m2.yr,8.53091E+12,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2035,Total energy system,DALY,87395886.06,Human Health damage
Net Zero Emissions by 2050 Scenario,2040,Energy transition,PDF.m2.yr,1.85975E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2040,Energy transition,DALY,1945505.472,Human Health damage
Net Zero Emissions by 2050 Scenario,2040,Total energy system,PDF.m2.yr,3.98916E+12,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2040,Total energy system,DALY,40867429.28,Human Health damage
Net Zero Emissions by 2050 Scenario,2045,Energy transition,PDF.m2.yr,1.58587E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2045,Energy transition,DALY,1660186.449,Human Health damage
Net Zero Emissions by 2050 Scenario,2050,Energy transition,PDF.m2.yr,1.29654E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2050,Energy transition,DALY,1357411.361,Human Health damage
Net Zero Emissions by 2050 Scenario,2050,Total energy system,PDF.m2.yr,5.46185E+11,Ecosystem Quality damage
Net Zero Emissions by 2050 Scenario,2050,Total energy system,DALY,5595460.196,Human Health damage
Stated Policies Scenario,2023,Energy transition,PDF.m2.yr,1.28542E+11,Ecosystem Quality damage
Stated Policies Scenario,2023,Energy transition,DALY,1336926.124,Human Health damage
Stated Policies Scenario,2023,Total energy system,PDF.m2.yr,2.44405E+13,Ecosystem Quality damage
Stated Policies Scenario,2023,Total energy system,DALY,250383744.7,Human Health damage
Stated Policies Scenario,2030,Energy transition,PDF.m2.yr,1.59005E+11,Ecosystem Quality damage
Stated Policies Scenario,2030,Energy transition,DALY,1655179.042,Human Health damage
Stated Policies Scenario,2030,Total energy system,PDF.m2.yr,2.33466E+13,Ecosystem Quality damage
Stated Policies Scenario,2030,Total energy system,DALY,239177422.1,Human Health damage
Stated Policies Scenario,2035,Energy transition,PDF.m2.yr,1.54386E+11,Ecosystem Quality damage
Stated Policies Scenario,2035,Energy transition,DALY,1607929.748,Human Health damage
Stated Policies Scenario,2035,Total energy system,PDF.m2.yr,2.12813E+13,Ecosystem Quality damage
Stated Policies Scenario,2035,Total energy system,DALY,218018760.5,Human Health damage
Stated Policies Scenario,2040,Energy transition,PDF.m2.yr,1.40504E+11,Ecosystem Quality damage
Stated Policies Scenario,2040,Energy transition,DALY,1463985.088,Human Health damage
Stated Policies Scenario,2040,Total energy system,PDF.m2.yr,1.9786E+13,Ecosystem Quality damage
Stated Policies Scenario,2040,Total energy system,DALY,202699691.2,Human Health damage
Stated Policies Scenario,2045,Energy transition,PDF.m2.yr,1.22493E+11,Ecosystem Quality damage
Stated Policies Scenario,2045,Energy transition,DALY,1277664.974,Human Health damage
Stated Policies Scenario,2050,Energy transition,PDF.m2.yr,1.04266E+11,Ecosystem Quality damage
Stated Policies Scenario,2050,Energy transition,DALY,1088563.574,Human Health damage
Stated Policies Scenario,2050,Total energy system,PDF.m2.yr,1.79967E+13,Ecosystem Quality damage
Stated Policies Scenario,2050,Total energy system,DALY,184369708.1,Human Health damage
